No.,Company Name,Company Website
1,7-ELEVEN MALAYSIA HOLDINGS BERHAD,http://www.7eleven.com.my
2,A-RANK BERHAD [S],http://www.arank.com.my
3,ABLEGROUP BERHAD [S],http://www.ablegroup.com.my/
4,ABM FUJIYA BERHAD [S],http://www.abmfujiya.com.my
5,ACME HOLDINGS BERHAD [S],https://www.acmeholdings.com.my
6,ACOUSTECH BERHAD [S],http://www.acoustech.com.my/
7,ADVANCE SYNERGY BERHAD,http://www.asb.com.my
8,ADVANCECON HOLDINGS BERHAD [S],http://www.advancecon.com.my/
9,ADVANCED PACKAGING TECHNOLOGY (M) BHD [S],http://www.advancedpack.com.my
10,ADVENTA BERHAD [S],http://www.adventa.com.my
11,AE MULTI HOLDINGS BERHAD [S],http://www.amallionpcb.com
12,AEON CO. (M) BHD [S],http://www.aeonretail.com.my
13,AEON CREDIT SERVICE (M) BERHAD,https://www.aeoncredit.com.my/
14,AFFIN BANK BERHAD,http://www.affin.com.my
15,PRINSIPTEK CORPORATION BERHAD [S],http://www.prinsiptek.com
16,AHB HOLDINGS BERHAD [S],http://www.ahb.com.my
17,AHMAD ZAKI RESOURCES BERHAD [S],http://www.azrb.com
18,AIRASIA GROUP BERHAD [S],http://www.airasia.com
19,AirAsia X Berhad [S],http://www.airasiax.com
20,AJINOMOTO (MALAYSIA) BERHAD [S],http://www.ajinomoto.com.my
21,AJIYA BERHAD [S],http://www.ajiya.com
22,AL-AQAR HEALTHCARE REIT [S],http://www.alaqar.com.my/
23,AL-SALAM REAL ESTATE INVESTMENT TRUST [S],http://www.alsalamreit.com.my
24,ALAM MARITIM RESOURCES BERHAD [S],http://www.alam-maritim.com.my
25,ALCOM GROUP BERHAD,http://www.alcom.com.my
26,ALLIANCE BANK MALAYSIA BERHAD,http://www.alliancebank.com.my/
27,ALLIANZ MALAYSIA BERHAD,http://www.allianz.com.my
28,AMALGAMATED INDUSTRIAL STEEL BERHAD [S],http://www.aisberhad.com.my
29,AMANAH HARTA TANAH PNB,http://www.ahp.com.my
30,AMANAHRAYA REAL ESTATE INVESTMENT TRUST,http://www.arrm.com.my
31,AMCORP PROPERTIES BERHAD,http://www.amcorpproperties.com
32,AME ELITE CONSORTIUM BERHAD [S],https://ame-elite.com
33,AMFIRST REAL ESTATE INVESTMENT TRUST,http://www.amfirstreit.com.my
34,AMMB HOLDINGS BERHAD,http://www.ambankgroup.com
35,AMTEL HOLDINGS BERHAD,http://www.amtel.com.my
36,AMWAY (MALAYSIA) HOLDINGS BERHAD [S],http://www.amway2u.com
37,ANALABS RESOURCES BERHAD [S],http://www.analabs.com.my
38,ANCOM BERHAD [S],http://www.ancom.com.my
39,ANN JOO RESOURCES BERHAD [S],http://www.annjoo.com.my
40,ANZO HOLDINGS BERHAD [S],http://www.harvestcourt.com
41,APB RESOURCES BERHAD [S],http://www.apb-resources.com
42,APEX EQUITY HOLDINGS BERHAD,http://www.apexequity.com.my/cms/main.php
43,APEX HEALTHCARE BERHAD [S],http://www.apexhealthcare.com.my/
44,APFT BERHAD [S],http://www.apft.com.my
45,APM AUTOMOTIVE HOLDINGS BERHAD [S],http://www.apm-automotive.com
46,APOLLO FOOD HOLDINGS BERHAD [S],http://www.apollofood.com.my
47,ARB BERHAD [S],https://www.arbberhad.com/
48,ARK RESOURCES HOLDINGS BERHAD [S],http://www.ark-resources.com.my
49,ASIA BRANDS BERHAD [S],http://www.asiabrands.com.my
50,ASIA FILE CORPORATION BHD [S],http://www.asia-file.com
51,ASIA MEDIA GROUP BERHAD,http://www.asiamedia.net.my
52,ASIAN PAC HOLDINGS BERHAD [S],http://www.asianpac.com.my
53,ASTINO BERHAD [S],http://www.astino.com.my
54,ASTRAL ASIA BERHAD [S],http://www.astralasia.com
55,ASTRO MALAYSIA HOLDINGS BERHAD,http://www.astromalaysia.com.my
56,ATA IMS BERHAD [S],http://denko.com.my
57,ATLAN HOLDINGS BHD,http://www.atlan.com.my/
58,ATRIUM REAL ESTATE INVESTMENT TRUST,http://www.atriumreit.com.my/
59,ATTA GLOBAL GROUP BERHAD [S],http://www.attaglobalgroup.com/
60,AVILLION BERHAD [S],http://www.avillion.com/
61,AWC BERHAD [S],http://www.awc.com.my
62,AXIATA GROUP BERHAD [S],http://www.axiata.com
63,AXIS REAL ESTATE INVESTMENT TRUST [S],http://www.axis-reit.com.my
64,AYER HOLDINGS BERHAD [S],http://www.tahps.com.my
65,AYS VENTURES BERHAD,http://www.ays-group.com
66,B.I.G. INDUSTRIES BERHAD [S],http://www.bigind.com.my
67,BARAKAH OFFSHORE PETROLEUM BERHAD [S],http://www.barakahpetroleum.com
68,BATU KAWAN BERHAD [S],http://www.bkawan.com.my
69,BCB BERHAD,http://www.bcbbhd.com.my
70,BENALEC HOLDINGS BERHAD,http://www.benalec.com.my
71,BERJAYA ASSETS BERHAD,http://www.berjaya.com.my
72,BERJAYA CORPORATION BERHAD,http://www.berjaya.com.my
73,BERJAYA FOOD BERHAD,http://www.berjaya.com
74,BERJAYA LAND BERHAD,http://www.berjaya.com.my
75,BERJAYA MEDIA BERHAD,http://www.berjaya.com.my
76,BERJAYA SPORTS TOTO BERHAD,http://www.berjaya.com.my
77,BERMAZ AUTO BERHAD [S],http://www.bauto.com.my
78,BERTAM ALLIANCE BERHAD,http://www.bertamalliance.com
79,BIMB HOLDINGS BERHAD [S],http://www.bimbholdings.com
80,BINA DARULAMAN BERHAD [S],http://www.bdb.com.my/
81,BINA PURI HOLDINGS BHD [S],http://www.binapuri.com.my
82,BINTAI KINDEN CORPORATION BERHAD [S],http://www.bintai.com.my
83,BINTULU PORT HOLDINGS BERHAD [S],http://www.bintuluport.com.my/
84,BLD PLANTATION BHD. [S],http://www.bld.com.my
85,BOILERMECH HOLDINGS BERHAD [S],http://www.boilermech.com
86,BONIA CORPORATION BERHAD [S],http://www.bonia.com
87,BORNEO OIL BERHAD [S],http://www.borneo-oil.com.my
88,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD [S],http://www.bhic.com.my
89,BOUSTEAD HOLDINGS BERHAD [S],http://www.boustead.com.my/
90,BOUSTEAD PLANTATIONS BERHAD [S],http://www.bousteadplantations.com.my
91,BOX-PAK (MALAYSIA) BERHAD,http://www.boxpak.com.my
92,BP PLASTICS HOLDING BHD [S],http://www.bpplas.com
93,BRAHIM'S HOLDINGS BERHAD [S],http://www.tamadam.com
94,BREM HOLDING BERHAD,http://www.bremholding.com
95,BRIGHT PACKAGING INDUSTRY BERHAD,http://www.brightpack.net/
96,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,http://www.batmalaysia.com
97,BSL CORPORATION BERHAD [S],http://www.bslcorp.com.my
98,BTM RESOURCES BERHAD [S],http://www.btmresorces.com.my
99,BUMI ARMADA BERHAD,http://www.bumiarmada.com
100,BURSA MALAYSIA BERHAD [S],http://www.bursamalaysia.com
101,C.I. HOLDINGS BERHAD,http://www.cih.com.my
102,CAB CAKARAN CORPORATION BERHAD [S],http://www.cab.com.my
103,CAELY HOLDINGS BHD [S],http://www.caelyholdings.com
104,CAHYA MATA SARAWAK BERHAD [S],http://www.cmsb.com.my/
105,CAM RESOURCES BERHAD [S],http://www.camres.com.my
106,CAN-ONE BERHAD [S],http://www.canone.com.my
107,CAPITALAND MALAYSIA MALL TRUST,http://www.capitamallsmalaysia.com
108,CARIMIN PETROLEUM BERHAD [S],http://www.carimin.com/
109,CARLSBERG BREWERY MALAYSIA BERHAD,http://www.carlsbergmalaysia.com.my
110,CB INDUSTRIAL PRODUCT HOLDING BERHAD [S],http://www.cbip.com.my
111,CCK CONSOLIDATED HOLDINGS BERHAD [S],http://www.cck.com.my/
112,CENSOF HOLDINGS BERHAD [S],http://www.censof.com
113,CENTRAL GLOBAL BERHAD [S],http://www.cicb.com.my
114,CEPATWAWASAN GROUP BERHAD [S],http://www.cepatgroup.com
115,CHEETAH HOLDINGS BERHAD [S],http://www.cheetah.com.my
116,CHEMICAL COMPANY OF MALAYSIA BERHAD [S],http://www.ccmberhad.com
117,CHIN HIN GROUP BERHAD [S],http://www.chinhingroup.com/
118,CHIN HIN GROUP PROPERTY BERHAD [S],http://www.boonkoon.com
119,CHIN TECK PLANTATIONS BERHAD,http://www.chinteck.com.my
120,CHIN WELL HOLDINGS BERHAD [S],http://www.chinwell.com.my
121,CHINA AUTOMOBILE PARTS HOLDINGS LIMITED,http://www.china-autoparts.biz
122,CHINA OUHUA WINERY HOLDINGS LIMITED,http://www.ohuawine.com.my
123,CHOO BEE METAL INDUSTRIES BHD [S],http://www.choobee.com.my
124,CHUAN HUAT RESOURCES BHD [S],http://www.chuanhuat.com.my
125,CIMB GROUP HOLDINGS BERHAD,http://www.cimb.com/
126,CJ CENTURY LOGISTICS HOLDINGS BERHAD [S],http://www.century.com.my
127,CLASSIC SCENIC BERHAD [S],http://www.classicscenic.com
128,CME GROUP BERHAD [S],http://www.cme.com.my
129,CN ASIA CORPORATION BHD,http://www.cnasia.com
130,CNI HOLDINGS BERHAD [S],http://www.cniholdings.com.my
131,COASTAL CONTRACTS BHD,http://www.coastalcontracts.com
132,COCOALAND HOLDINGS BERHAD [S],http://www.cocoaland.com
